name,steam_appid,genres,release_date
Counter-Strike,10,['Action'],2000-11-01 00:00:00
Team Fortress Classic,20,['Action'],1999-04-01 00:00:00
Day of Defeat,30,['Action'],2003-05-01 00:00:00
Deathmatch Classic,40,['Action'],2001-06-01 00:00:00
Half-Life: Opposing Force,50,['Action'],1999-11-01 00:00:00
Ricochet,60,['Action'],2000-11-01 00:00:00
Half-Life,70,['Action'],1998-11-08 00:00:00
Counter-Strike: Condition Zero,80,['Action'],2004-03-01 00:00:00
Counter-Strike: Condition Zero,80,['Action'],2004-03-01 00:00:00
Half-Life: Blue Shift,130,['Action'],2001-06-01 00:00:00
Half-Life 2,220,['Action'],2004-11-16 00:00:00
Counter-Strike: Source,240,['Action'],2004-11-01 00:00:00
Half-Life: Source,280,['Action'],2004-06-01 00:00:00
Day of Defeat: Source,300,['Action'],2010-07-12 00:00:00
Half-Life 2: Deathmatch,320,['Action'],2004-11-01 00:00:00
Half-Life Deathmatch: Source,360,['Action'],2006-05-01 00:00:00
Half-Life 2: Episode One,380,['Action'],2006-06-01 00:00:00
Portal,400,['Action'],2007-10-10 00:00:00
Half-Life 2: Episode Two,420,['Action'],2007-10-10 00:00:00
Left 4 Dead,500,['Action'],2008-11-17 00:00:00
Left 4 Dead 2,550,['Action'],2009-11-16 00:00:00
Portal 2,620,"['Action', 'Adventure']",2011-04-18 00:00:00
Rag Doll Kung Fu,1002,['Indie'],2005-10-12 00:00:00
Red Orchestra: Ostfront 41-45,1200,['Action'],2006-03-14 00:00:00
Killing Floor,1250,['Action'],2009-05-14 00:00:00
SiN Episodes: Emergence,1300,['Action'],2006-05-10 00:00:00
SiN Episodes: Emergence,1300,['Action'],2006-05-10 00:00:00
SiN: Gold,1313,['Action'],2020-03-18 00:00:00
Darwinia,1500,"['Indie', 'Strategy']",2005-07-14 00:00:00
Uplink,1510,"['Indie', 'Strategy']",2006-08-23 00:00:00
DEFCON,1520,"['Indie', 'Strategy']",2006-09-29 00:00:00
Multiwinia,1530,['Indie'],2008-09-19 00:00:00
Dangerous Waters,1600,['Strategy'],2006-02-07 00:00:00
Space Empires IV Deluxe,1610,['Strategy'],2006-02-07 00:00:00
Disciples II: Rise of the Elves ,1630,['Strategy'],2006-07-06 00:00:00
Disciples II: Gallean's Return,1640,['Strategy'],2006-07-06 00:00:00
Iron Warriors: T - 72 Tank Command ,1670,['Strategy'],2006-07-26 00:00:00
Space Empires V,1690,['Strategy'],2006-10-16 00:00:00
Arx Fatalis,1700,['RPG'],2007-04-03 00:00:00
Earth 2160,1900,['Strategy'],2006-04-01 00:00:00
Two Worlds Epic Edition,1930,['RPG'],2009-04-30 00:00:00
Dark Messiah of Might & Magic,2100,"['RPG', 'Action']",2006-10-25 00:00:00
